procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 804868 64475820   4524 194976    0    0     0     0  709 1913  1  1 98  0  0
 0  0 804868 64476324   4524 194976    0    0     0     0   78  641  0  1 99  0  0
 1  0 804868 64476220   4524 194976    0    0     0     0  401 1304  0  1 99  0  0
 0  0 804868 64475824   4532 194976    0    0     0    16  376 1259  0  1 99  0  0
 0  0 804868 64475824   4532 194976    0    0     0     0   64  630  0  0 99  0  0
 0  0 804868 64474824   4532 194976    0    0     0     0  699 1904  1  1 98  0  0
 0  0 804860 64474824   4532 194976    8    0     8     0   86  685  1  0 99  0  0
 0  0 804856 64473312   4532 194976    4    0     4     8  690 1897  0  1 98  0  0
 0  0 804856 64471540   4540 194976    0    0     0    28  104  702  1  1 99  0  0
 0  0 804856 64473860   4540 194976    0    0     0     0  710 1917  1  2 98  0  0
 0  0 804856 64473612   4540 194976    0    0     0     0   78  636  0  0 99  0  0
 0  0 804856 64472604   4540 194976    0    0     0     0  687 1873  1  2 98  0  0
 0  0 804856 64473108   4540 194976    0    0     0     0   74  656  0  0 99  0  0
 0  0 804856 64475684   4548 194976    0    0     0    16  718 1952  1  2 97  0  0
 0  0 804856 64475436   4548 194976    0    0     0     0   72  653  0  1 99  0  0
 0  0 804856 64474396   4548 194976    0    0     0     0  687 1886  0  3 96  0  0
 0  0 804856 64474396   4548 194976    0    0     0     0   78  643  0  0 99  0  0
 0  0 804856 64474396   4548 194976    0    0     0     0  703 1905  1  1 98  0  0
 0  0 804856 64472116   4556 194976    0    0     0    16   73  648  0  1 99  0  0
 0  0 804856 64474692   4556 194976    0    0     0     0  700 1913  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804856 64475196   4556 194976    0    0     0     0   74  640  1  0 99  0  0
 0  0 804856 64476464   4556 194976    0    0     0     0  718 1940  1  1 98  0  0
 0  0 804856 64476464   4556 194976    0    0     0    12   79  657  1  0 99  0  0
 0  0 804856 64476360   4564 194984    0    0     0    16  713 1928  1  2 97  0  0
 0  0 804856 64477980   4564 194984    0    0     0     0   77  658  0  1 99  0  0
 1  0 804856 64477980   4564 194984    0    0     0     0   89  668  1  0 99  0  0
 0  0 804856 64477228   4564 194984    0    0     0     0  682 1843  1  2 98  0  0
 0  0 804856 64477228   4564 194984    0    0     0     0   67  643  0  1 99  0  0
 0  0 804856 64477228   4572 194984    0    0     0    16  703 1908  1  2 98  0  0
 0  0 804856 64475204   4572 194984    0    0     0     0   90  671  1  1 99  0  0
 0  0 804856 64476768   4572 194984    0    0     0     0  700 1906  1  1 98  0  0
 0  0 804856 64476768   4572 194984    0    0     0     0   63  604  0  0 99  0  0
 0  0 804856 64477524   4572 194984    0    0     0     0  714 1944  1  1 98  0  0
 0  0 804856 64477524   4580 194984    0    0     0    16   82  668  0  1 99  0  0
 0  0 804856 64479540   4580 194984    0    0     0     0  697 1912  0  2 98  0  0
 0  0 804856 64479292   4580 194984    0    0     0     0   76  634  0  1 99  0  0
 0  0 804816 64479544   4580 194984   32    0    32     0  706 1929  1  2 98  0  0
 0  0 804816 64479292   4580 194984    0    0     0     0   75  639  1  0 99  0  0
 0  0 804816 64479548   4596 194984    0    0     8    16  700 1954  1  1 98  0  0
 0  0 804816 64477520   4596 194984    0    0     0     0   79  663  0  1 99  0  0
 0  0 804816 64479084   4596 194984    0    0     0     0  697 1925  0  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804816 64478832   4596 194984    0    0     0     0   72  636  0  1 99  0  0
 0  0 804816 64478580   4596 194984    0    0     0     8  683 1886  1  1 98  0  0
 0  0 804816 64478328   4604 194984    0    0     0    28   83  675  0  1 99  0  0
 0  0 804816 64478076   4604 194984    0    0     0     0  546 1642  1  1 98  0  0
 0  0 804816 64479284   4604 194984    0    0     0     0   71  641  0  2 98  0  0
 0  0 804816 64478532   4604 194984    0    0     0     0  529 1610  1  1 98  0  0
 0  0 804816 64478532   4604 194984    0    0     0     0   74  639  1  1 99  0  0
 1  0 804816 64477776   4612 194984    0    0     0    16  710 1922  0  2 98  0  0
 0  0 804816 64476508   4612 194984    0    0     0     0   95  698  0  1 99  0  0
 0  0 804816 64476508   4612 195184    0    0   200     0   75  647  0  1 99  0  0
 0  0 804816 64476508   4612 195184    0    0     0     0  651 1820  1  1 98  0  0
 0  0 804812 64476508   4612 195184   16    0    16     0   67  629  0  0 99  0  0
 0  0 804812 64478576   4620 195184    0    0     0    16  715 1919  0  2 97  0  0
 0  0 804812 64478328   4620 195184    0    0     0     0   74  656  0  1 99  0  0
 0  0 804812 64479084   4620 195184    0    0     0     0  607 1735  1  1 98  0  0
 0  0 804812 64479084   4620 195184    0    0     0     0   73  648  1  0 99  0  0
 1  0 804812 64479336   4620 195184    0    0     0     0  690 1894  1  1 98  0  0
 3  0 804812 64479336   4628 195184    0    0     0    28   73  647  0  0 99  0  0
 0  0 804812 64477056   4628 195184    0    0     0     0  709 1926  1  1 97  0  0
 0  0 804812 64477056   4628 195184    0    0     0     0   74  633  1  0 99  0  0
 0  0 804808 64478872   4628 195184    4    0     4     0  717 1933  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804808 64478872   4628 195184    0    0     0     0   75  660  1  0 99  0  0
 0  0 804808 64479884   4636 195184    0    0     0    16  711 1927  1  1 98  0  0
 0  0 804808 64479884   4636 195184    0    0     0     0   73  653  0  1 99  0  0
 0  0 804808 64481396   4636 195184    0    0     0     0  614 1743  0  1 99  0  0
 0  0 804808 64481396   4636 195184    0    0     0     0   73  645  1  0 99  0  0
 0  0 804808 64481796   4636 195184    0    0     0     0  685 1879  1  1 98  0  0
 0  0 804808 64481652   4644 195184    0    0     0    16   79  675  0  0 99  0  0
 0  0 804808 64483424   4644 195188    0    0     0     0  698 1906  1  1 98  0  0
 0  0 804808 64481148   4644 195188    0    0     0     0   84  671  0  1 99  0  0
 0  0 804808 64483360   4644 195188    0    0     0     0  694 1875  1  2 98  0  0
 0  0 804808 64483360   4644 195188    0    0     0     0   68  646  1  0 99  0  0
 1  0 804808 64483940   4652 195188    0    0     0    24  454 1398  1  1 98  0  0
 0  0 804808 64484232   4652 195188    0    0     0     0  324 1160  0  1 99  0  0
 0  0 804808 64484596   4652 195188    0    0     0     0   85  655  0  2 98  0  0
 0  0 804808 64484600   4652 195188    0    0     0     0  688 1886  1  2 98  0  0
 0  0 804808 64484600   4652 195188    0    0     0     0   65  631  1  0 99  0  0
 0  0 804808 64486368   4660 195192    0    0     0    28  724 1948  1  1 98  0  0
 1  0 804808 64486368   4660 195192    0    0     0     0   77  643  1  0 99  0  0
 0  0 804808 64487388   4660 195192    0    0     0     0  674 1856  0  1 99  0  0
 0  0 804808 64487388   4660 195192    0    0     0     0   76  631  1  0 99  0  0
 0  0 804808 64487928   4660 195192    0    0     0     0  709 1908  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804808 64487928   4668 195192    0    0     0    16   83  675  0  1 99  0  0
 0  0 804808 64489192   4668 195192    0    0     0     0  708 1931  0  2 98  0  0
 0  0 804808 64489192   4668 195192    0    0     0     0   73  638  0  0 99  0  0
 1  0 804808 64489952   4668 195192    0    0     0     0  688 1889  0  1 98  0  0
 0  0 804808 64489952   4668 195192    0    0     0     0   69  629  0  1 99  0  0
 0  0 804808 64490712   4676 195192    0    0     0    32  717 1940  0  2 98  0  0
 0  0 804808 64490712   4676 195192    0    0     0     0   85  652  1  1 99  0  0
 0  0 804808 64491264   4676 195192    0    0     0     0  713 1913  1  2 98  0  0
 0  0 804808 64491264   4676 195192    0    0     0     0   68  634  1  0 99  0  0
 0  0 804808 64492528   4676 195192    0    0     0     0  702 1917  1  1 98  0  0
 0  0 804808 64492528   4684 195192    0    0     0    16   65  633  0  0 99  0  0
 0  0 804808 64492672   4684 195192    0    0     0     0  695 1899  0  2 98  0  0
 0  0 804808 64492784   4684 195192    0    0     0     0   76  645  0  0 99  0  0
 0  0 804808 64493180   4684 195192    0    0     0     0  529 1563  1  1 99  0  0
 0  0 804808 64494052   4684 195192    0    0     0     0  256 1024  0  1 99  0  0
 0  0 804808 64493044   4692 195192    0    0     0    16  122  750  0  1 98  0  0
 0  0 804808 64492540   4692 195192    0    0     0     0  693 1889  1  1 98  0  0
 0  0 804804 64490512   4692 195192    4    0     4     0   69  632  1  0 99  0  0
 0  0 804804 64489504   4692 195192    0    0     0     0  693 1893  1  1 98  0  0
 0  0 804804 64489504   4692 195192    0    0     0     0   73  656  0  1 99  0  0
 0  0 804804 64488756   4700 195192    0    0     0    16  699 1925  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804804 64488504   4700 195192    0    0     0     0   77  659  0  1 99  0  0
 0  0 804804 64488204   4700 195192    0    0     0     0  691 1894  1  3 97  0  0
 0  0 804804 64488204   4700 195192    0    0     0     0   66  636  1  0 99  0  0
 0  0 804804 64488964   4700 195192    0    0     0     0  691 1887  1  1 98  0  0
 0  0 804804 64489216   4708 195192    0    0     0    20   87  679  1  0 99  0  0
 0  0 804804 64489472   4708 195192    0    0     0     0  691 1915  1  2 98  0  0
 0  0 804804 64489220   4708 195192    0    0     0     0   75  640  1  0 99  0  0
 0  0 804804 64488216   4708 195192    0    0     0     0  708 1899  0  2 97  0  0
 0  0 804804 64488468   4708 195192    0    0     0     0   70  655  0  1 99  0  0
 0  0 804804 64488480   4716 195192    0    0     0    16  705 1925  0  2 98  0  0
 0  0 804804 64488480   4716 195196    0    0     0     0   61  623  0  0 99  0  0
 0  0 804804 64488988   4716 195196    0    0     0     0  699 1921  1  2 98  0  0
 0  0 804804 64488988   4716 195196    0    0     0     0   72  635  0  1 99  0  0
 0  0 804804 64488308   4716 195196    0    0     0     0  691 1881  1  1 98  0  0
 0  0 804804 64488488   4724 195196    0    0     0    16   80  666  1  0 99  0  0
 0  0 804804 64488456   4724 195196    0    0     0     0  682 1868  1  1 98  0  0
 2  0 804804 64488496   4724 195196    0    0     0     0   64  619  1  0 99  0  0
 1  0 804804 64488032   4724 195196    0    0     0     0  152  809  1  0 99  0  0
 0  0 804804 64488032   4724 195196    0    0     0     0  610 1741  0  2 98  0  0
 0  0 804804 64488032   4732 195196    0    0     0    20   83  679  1  0 99  0  0
 0  0 804804 64488544   4732 195196    0    0     0     0  687 1895  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804804 64488544   4732 195196    0    0     0     0   73  638  0  1 99  0  0
 0  0 804804 64488796   4732 195196    0    0     0     0  707 1922  1  1 97  0  0
 0  0 804804 64488796   4732 195196    0    0     0     0   64  618  1  0 99  0  0
 0  0 804804 64489556   4740 195196    0    0     0    16  706 1937  0  2 98  0  0
 0  0 804804 64489556   4740 195196    0    0     0     0   78  654  0  1 98  0  0
 0  0 804804 64490576   4740 195196    0    0     0     0  702 1906  1  2 97  0  0
 0  0 804804 64488548   4740 195196    0    0     0     0   77  637  0  0 99  0  0
 0  0 804804 64491516   4740 195196    0    0     0     0  707 1912  1  2 98  0  0
 0  0 804804 64491628   4748 195196    0    0     0    16   78  660  0  1 99  0  0
 0  0 804796 64492140   4748 195164    8    0     8     0  704 1899  1  2 98  0  0
 0  0 804796 64493128   4748 195164    0    0     0     0   81  663  1  2 98  0  0
 0  0 804796 64493380   4748 195164    0    0     0     0  698 1918  1  2 97  0  0
 0  0 804796 64493380   4748 195164    0    0     0     0   76  647  1  1 99  0  0
 0  0 804796 64495144   4756 195164    0    0     0    16  685 1899  1  1 98  0  0
 0  0 804796 64495144   4756 195164    0    0     0     0   71  636  0  0 99  0  0
 0  0 804796 64495544   4756 195164    0    0     0     0  699 1900  1  2 98  0  0
 0  0 804796 64495696   4756 195164    0    0     0     0   65  631  0  1 99  0  0
 0  0 804796 64496168   4756 195164    0    0     0     0  712 1922  1  2 98  0  0
 0  0 804796 64495952   4764 195168    0    0     0    24   89  683  0  1 99  0  0
 1  0 804796 64495952   4764 195168    0    0     0     0   88  677  1  0 99  0  0
 0  0 804796 64497724   4764 195168    0    0     0     0  694 1899  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804796 64497724   4764 195168    0    0     0     0   73  656  0  1 99  0  0
 0  0 804796 64498240   4764 195168    0    0     0     0  710 1916  1  1 98  0  0
 0  0 804796 64498492   4772 195168    0    0     0    28   70  640  1  0 99  0  0
 0  0 804796 64499004   4772 195168    0    0     0     0  695 1895  1  1 98  0  0
 0  0 804796 64499760   4772 195168    0    0     0     0   79  645  0  1 99  0  0
 0  0 804792 64500024   4772 195168    4    0     4     0  617 1752  1  2 98  0  0
 1  0 804792 64500064   4772 195168    0    0     0     0   83  662  0  1 99  0  0
 0  0 804792 64500320   4780 195168    0    0     0    16  699 1919  0  2 98  0  0
 0  0 804792 64500320   4780 195168    0    0     0     0   75  642  0  0 99  0  0
 0  0 804792 64500328   4780 195168    0    0     0     0  687 1875  1  1 98  0  0
 0  0 804784 64500328   4780 195168   20    0    20     0   95  684  0  1 99  0  0
 0  0 804764 64500808   4780 195168   12    0    12     0  712 1941  1  1 98  0  0
 0  0 804764 64499328   4792 195168    0    0     4    32  113  737  1  1 98  0  0
 0  0 804764 64499584   4792 195172    0    0     0     0  662 1866  1  1 99  0  0
 0  0 804760 64499584   4792 195172    4    0     4     0   70  649  0  1 99  0  0
 0  0 804760 64500092   4792 195172    0    0     0     0  706 1904  1  1 98  0  0
 0  0 804760 64500352   4792 195172    0    0     0     0   69  650  0  0 99  0  0
 0  0 804760 64498844   4800 195172    0    0     0    16  700 1919  1  1 98  0  0
 0  0 804760 64498844   4800 195172    0    0     0     0   74  660  0  1 99  0  0
 0  0 804760 64498040   4800 195172    0    0     0     0  710 1929  0  3 97  0  0
 0  0 804760 64498040   4800 195172    0    0     0     0   77  654  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804760 64496784   4800 195172    0    0     0     0  698 1903  1  1 98  0  0
 0  0 804760 64497036   4808 195172    0    0     0    16   76  670  1  0 99  0  0
 1  0 804760 64497036   4808 195172    0    0     0     0   76  654  1  0 99  0  0
 0  0 804760 64496288   4808 195172    0    0     0     0  681 1877  1  1 98  0  0
 0  0 804760 64496288   4808 195172    0    0     0     0   70  638  0  1 99  0  0
 0  0 804760 64496076   4808 195172    0    0     0     0  710 1929  1  2 98  0  0
 0  0 804760 64496076   4816 195172    0    0     0    16   80  661  0  0 99  0  0
 1  0 804720 64479952   4960 215956 1152    0 20564     0 1593 4884  1  2 92  4  0
 0  0 804700 64474664   4960 219928  180    0  4152     0  195  917  1  1 97  1  0
 0  0 804700 64475684   4960 219928    0    0     0     0  696 1894  0  2 98  0  0
 0  0 804700 64475684   4960 219928    0    0     0     0   70  652  0  0 99  0  0
 0  0 804700 64476948   4968 219928    0    0     0    24  709 1938  1  1 98  0  0
 0  0 804700 64476696   4968 219928    0    0     0     0   69  648  1  0 99  0  0
 0  0 804700 64477456   4968 219928    0    0     0     0  702 1917  1  2 97  0  0
 0  0 804700 64477212   4968 219928    0    0     0     0   66  641  1  0 99  0  0
 0  0 804700 64474132   4968 219928    0    0     0     0  706 1931  1  1 98  0  0
 0  0 804700 64475944   4976 219928    0    0     0    28   64  628  0  0 99  0  0
 0  0 804700 64476196   4976 219928    0    0     0     0  705 1927  0  2 98  0  0
 0  0 804700 64475944   4976 219928    0    0     0     0   69  623  1  0 99  0  0
 0  0 804700 64477468   4976 219928    0    0     0     0  710 1945  1  2 98  0  0
 0  0 804700 64477216   4976 219928    0    0     0     0   77  662  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804700 64478120   4984 219928    0    0     0    16  706 1918  1  2 98  0  0
 1  0 804700 64477976   4984 219928    0    0     0     0   72  644  1  0 99  0  0
 1  0 804700 64478696   4984 219928    0    0     0     0  595 1692  1  1 98  0  0
 0  0 804692 64478484   4984 219928   36    0    36     0  186  870  0  1 99  0  0
 0  0 804692 64478484   4984 219928    0    0     0     0   85  667  0  1 99  0  0
 0  0 804692 64477984   4992 219928    0    0     0    16  718 1939  1  2 97  0  0
 0  0 804692 64477988   4992 219928    0    0     0    12   77  652  0  1 99  0  0
 0  0 804692 64479004   4992 219928    0    0     0     0  703 1909  1  2 97  0  0
 1  0 804688 64479004   4992 219928    4    0     4     0   67  624  0  1 99  0  0
 0  0 804688 64479008   4992 219928    0    0     0     0  694 1899  0  2 98  0  0
 0  0 804688 64479012   5000 219928    0    0     0    16   81  671  0  1 99  0  0
 0  0 804688 64479520   5000 219928    0    0     0     0  639 1808  0  2 98  0  0
 0  0 804688 64479520   5000 219928    0    0     0     0   74  651  0  0 99  0  0
 0  0 804688 64479524   5000 219928    0    0     0     0  706 1908  1  1 98  0  0
 0  0 804688 64479524   5000 219928    0    0     0     0   69  641  0  1 99  0  0
 0  0 804688 64479276   5008 219928    0    0     0    16  685 1895  1  1 98  0  0
 0  0 804688 64479276   5008 219928    0    0     0     0   78  658  0  1 99  0  0
 0  0 804688 64478276   5008 219936    0    0     0     0  706 1929  1  1 98  0  0
 0  0 804688 64478276   5008 219936    0    0     0     0   72  651  0  1 99  0  0
 0  0 804688 64476012   5008 219936    0    0     0     0  661 1821  1  1 97  0  0
 0  0 804688 64476012   5016 219936    0    0     0    16   77  662  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804688 64474500   5016 219936    0    0     0     8  700 1904  1  2 98  0  0
 0  0 804688 64474752   5016 219936    0    0     0     0   62  615  0  1 99  0  0
 0  0 804688 64473744   5016 219936    0    0     0     0  698 1905  0  1 98  0  0
 0  0 804688 64473492   5016 219936    0    0     0     0   75  656  0  0 99  0  0
 0  0 804688 64472232   5024 219936    0    0     0    28  720 1941  1  2 98  0  0
 0  0 804688 64471980   5024 219936    0    0     0     0   78  654  0  0 99  0  0
 1  0 804688 64471476   5024 219936    0    0     0     0   98  689  0  1 99  0  0
 0  0 804688 64470728   5024 219936    0    0     0     0  683 1861  1  1 98  0  0
 0  0 804688 64470728   5024 219936    0    0     0     0   63  626  0  0 99  0  0
 0  0 804688 64469980   5032 219936    0    0     0    16  736 2010  2  1 97  0  0
 0  0 804688 64469980   5032 219936    0    0     0     0   71  655  0  0 99  0  0
 0  0 804688 64468472   5032 219936    0    0     0     0  695 1895  1  1 98  0  0
 0  0 804688 64468472   5032 219936    0    0     0     0   70  638  0  0 99  0  0
 0  0 804688 64466460   5032 219936    0    0     0     0  708 1938  1  2 97  0  0
 0  0 804688 64466460   5040 219936    0    0     0    16   85  682  1  0 99  0  0
 0  0 804688 64464948   5040 219936    0    0     0     0  700 1905  1  2 97  0  0
 0  0 804688 64464948   5040 219936    0    0     0     0   73  635  1  0 99  0  0
 0  0 804688 64463688   5040 219936    0    0     0     0  704 1912  1  1 98  0  0
 0  0 804688 64463436   5040 219936    0    0     0     0   70  641  1  0 99  0  0
 0  0 804688 64461672   5048 219936    0    0     0    16  708 1929  1  2 97  0  0
 0  0 804688 64461672   5048 219936    0    0     0    12   77  644  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804688 64461420   5048 219936    0    0     0     0  705 1918  1  1 98  0  0
 0  0 804688 64461420   5048 219936    0    0     0     0   57  606  0  0 99  0  0
 0  0 804688 64460920   5048 219936    0    0     0     0  701 1913  1  1 98  0  0
 0  0 804688 64460920   5056 219936    0    0     0    16   90  697  1  0 99  0  0
 0  0 804688 64461136   5056 219936    0    0     0     0  710 1917  1  1 98  0  0
 0  0 804688 64461172   5056 219936    0    0     0     0   76  640  0  1 99  0  0
 1  0 804688 64460420   5056 219936    0    0     0     0  282 1070  1  1 98  0  0
 1  0 804688 64460928   5056 219936    0    0     0     0  489 1452  1  1 98  0  0
 0  0 804688 64460928   5064 219936    0    0     0    16   69  664  1  0 99  0  0
 0  0 804688 64460676   5064 219936    0    0     0     0  701 1917  0  2 98  0  0
 0  0 804688 64460424   5064 219936    0    0     0     0   71  642  0  1 99  0  0
 0  0 804688 64459928   5064 219936    0    0     0     0  703 1904  1  1 98  0  0
 0  0 804688 64459676   5064 219936    0    0     0     0   78  650  0  1 99  0  0
 0  0 804688 64458924   5072 219936    0    0     0    16  719 1953  1  1 98  0  0
 0  0 804684 64458924   5072 219936    4    0     4     4   69  645  0  0 99  0  0
 0  0 804684 64457412   5072 219936    0    0     0     0  678 1877  1  1 98  0  0
 0  0 804684 64457412   5072 219936    0    0     0     0   71  643  0  0 99  0  0
 0  0 804684 64456156   5072 219936    0    0     0     0  695 1915  1  1 98  0  0
 1  0 804684 64456156   5080 219936    0    0     0    16   80  654  0  1 99  0  0
 0  0 804684 64454140   5080 219936    0    0     0     0  700 1916  0  2 98  0  0
 0  0 804684 64454140   5080 219940    0    0     0     0   70  633  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804684 64455404   5080 219940    0    0     0     0  598 1714  0  2 98  0  0
 0  0 804684 64455404   5080 219940    0    0     0     0   71  646  1  0 99  0  0
 0  0 804684 64454652   5088 219940    0    0     0    16  700 1942  1  1 98  0  0
 0  0 804684 64454148   5088 219940    0    0     0     0   86  667  1  0 99  0  0
 0  0 804684 64460812   5088 219940    0    0     0     0  713 1925  1  3 97  0  0
 0  0 804684 64460560   5088 219940    0    0     0     0   75  646  0  1 99  0  0
 0  0 804684 64459804   5088 219940    0    0     0     0  699 1903  1  1 98  0  0
 0  0 804684 64459804   5096 219940    0    0     0    16   70  638  0  1 99  0  0
 2  0 804684 64459552   5096 219940    0    0     0     0  124  761  0  1 99  0  0
 0  0 804684 64460060   5096 219940    0    0     0     0  670 1823  0  1 98  0  0
 0  0 804684 64460060   5096 219940    0    0     0     0   75  646  1  0 99  0  0
 0  0 804684 64459812   5096 219940    0    0     0     0  693 1907  1  1 98  0  0
 0  0 804684 64459812   5104 219940    0    0     0    16   81  673  1  0 99  0  0
 0  0 804684 64459056   5104 219940    0    0     0     0  707 1919  1  1 98  0  0
 0  0 804684 64459056   5104 219940    0    0     0     0   62  610  0  0 99  0  0
 0  0 804684 64458556   5104 219940    0    0     0     0  693 1907  1  1 98  0  0
 0  0 804684 64458556   5104 219940    0    0     0     0   88  652  1  0 99  0  0
 0  0 804684 64456792   5112 219940    0    0     0    16  721 1945  1  2 98  0  0
 0  0 804684 64456792   5112 219940    0    0     0     0   88  659  0  1 99  0  0
 0  0 804684 64455784   5112 219940    0    0     0     0  713 1908  0  2 97  0  0
 2  0 804684 64455784   5112 219940    0    0     0     0   63  617  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804684 64455532   5112 219940    0    0     0     0  699 1920  1  1 98  0  0
 0  0 804684 64455028   5120 219940    0    0     0    16   76  657  0  1 99  0  0
 0  0 804684 64457096   5120 219940    0    0     0     0  708 1937  1  2 98  0  0
 0  0 804684 64457096   5120 219940    0    0     0     0   72  637  1  0 99  0  0
 0  0 804684 64455804   5120 219940    0    0     0     0  711 1928  0  2 97  0  0
 0  0 804684 64455840   5120 219940    0    0     0     0   72  648  0  0 99  0  0
 0  0 804684 64456848   5136 219940    0    0     8    16  741 1989  1  2 97  0  0
 0  0 804684 64456600   5136 219940    0    0     0     8   75  648  1  0 99  0  0
 1  0 804684 64456096   5136 219940    0    0     0     0  313 1135  0  1 99  0  0
 0  0 804684 64455596   5136 219940    0    0     0     0  460 1405  1  1 99  0  0
 0  0 804684 64455596   5136 219940    0    0     0     0   73  649  0  1 99  0  0
 0  0 804684 64455600   5144 219940    0    0     0    28  706 1935  1  2 98  0  0
 0  0 804684 64455600   5144 219940    0    0     0     0   69  651  1  0 99  0  0
 0  0 804684 64453940   5144 219940    0    0     0     0  686 1881  0  3 97  0  0
 0  0 804684 64453940   5144 219940    0    0     0     0   73  653  0  1 99  0  0
 0  0 804684 64452936   5144 219940    0    0     0     0  706 1914  1  1 98  0  0
 0  0 804684 64452936   5152 219940    0    0     0    16   78  667  1  0 99  0  0
 0  0 804680 64453944   5152 219940    4    0     4     0  708 1934  1  2 97  0  0
 0  0 804680 64453944   5152 219940    0    0     0     0   70  633  0  1 99  0  0
 0  0 804680 64454448   5152 219940    0    0     0     0  690 1866  1  1 98  0  0
 0  0 804680 64454700   5152 219940    0    0     0     0   62  622  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804680 64455716   5160 219940    0    0     0    16  577 1679  1  1 98  0  0
 0  0 804680 64455716   5160 219944    0    0     0     0   70  647  1  0 99  0  0
 0  0 804680 64455716   5160 219944    0    0     0     0  673 1860  1  1 98  0  0
 0  0 804680 64455464   5160 219944    0    0     0     0   72  635  1  0 99  0  0
 0  0 804680 64458536   5160 219944    0    0     0     0  685 1866  1  2 97  0  0
 0  0 804680 64458536   5168 219944    0    0     0    16   84  657  0  1 99  0  0
 0  0 804680 64458284   5168 219944    0    0     0    12  690 1875  0  2 98  0  0
 0  0 804680 64457780   5168 219944    0    0     0     0   80  641  0  1 99  0  0
 0  0 804680 64457784   5168 219944    0    0     0     0  701 1892  1  1 98  0  0
 0  0 804680 64458040   5168 219944    0    0     0     0   81  654  0  1 99  0  0
 1  0 804680 64457284   5176 219948    0    0     0    16  447 1420  1  1 98  0  0
 0  0 804680 64456280   5176 219948    0    0     0     0  331 1168  0  1 99  0  0
 0  0 804680 64456312   5176 219948    0    0     0     0   75  650  0  1 99  0  0
 0  0 804660 64456064   5176 219948    4    0     4     0  706 1917  1  2 98  0  0
 0  0 804660 64455812   5176 219948    0    0     0     0   76  653  1  0 99  0  0
 0  0 804660 64458088   5184 219948    0    0     0    16  705 1919  1  1 98  0  0
 0  0 804660 64457840   5184 219948    0    0     0     0   74  646  0  0 99  0  0
 0  0 804660 64458092   5184 219948    0    0     0     0  699 1902  1  1 98  0  0
 0  0 804660 64458092   5184 219948    0    0     0     0   70  629  1  0 99  0  0
 1  0 804660 64458740   5184 219948    0    0     0     0  697 1892  0  2 98  0  0
 0  0 804660 64458852   5192 219944    0    0     0    16   81  658  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804660 64458348   5192 219944    0    0     0     8  672 1861  1  1 98  0  0
 0  0 804660 64456860   5192 219948    0    0     0     0  107  679  0  2 98  0  0
 0  0 804660 64456108   5192 219948    0    0     0     0  719 1946  1  2 97  0  0
